District,Population,Area per km^2,Density per km^2
Adalar,16119,1105,1458
Arnavutköy,270549,45035,600
Ataşehir,416318,2520,16520
Avcılar,435625,4201,10369
Bağcılar,734369,2236,32842
Bahçelievler,594053,1662,35743
Bakırköy,222668,2964,7512
Başakşehir,427835,10430,4101
Bayrampaşa,271073,961,28207
Beşiktaş,181074,1801,10054
Beykoz,246700,31036,794
Beylikdüzü,331525,3778,8775
Beyoğlu,230526,891,25872
Büyükçekmece,247736,13917,1780
Çatalca,72966,"1,11513",65
Çekmeköy,251937,14809,1701
Esenler,444561,1843,24121
Esenyurt,891120,4313,20661
Eyüp,383909,22842,1680
Fatih,436539,1559,28001
Gaziosmanpaşa,487046,1176,41415
Güngören,289331,721,40129
Kadıköy,458638,2509,18279
Kağıthane,437026,1487,29389
Kartal,461155,3854,11965
Küçükçekmece,770317,3754,20519
Maltepe,497034,5297,9383
Pendik,693599,17999,3853
Sancaktepe,414143,6242,6634
Sarıyer,342503,17539,1952
Silivri,187621,86952,215
Sultanbeyli,327798,2910,11264
Sultangazi,523765,3630,14428
Şile,36516,78172,46
Şişli,274289,1071,25610
Tuzla,255468,12363,2066
Ümraniye,690193,4531,15232
Üsküdar,529145,3533,14977
Zeytinburnu,284935,1159,24584
