year,population
1950,967000
1951,1018000
1952,1072000
1953,1128000
1954,1187000
1955,1249000
1956,1294000
1957,1332000
1958,1371000
1959,1412000
1960,1453000
1961,1535000
1962,1640000
1963,1753000
1964,1873000
1965,2001000
1966,2137000
1967,2280000
1968,2434000
1969,2597000
1970,2772000
1971,2931000
1972,3086000
1973,3249000
1974,3420000
1975,3600000
1976,3759000
1977,3909000
1978,4065000
1979,4228000
1980,4397000
1981,4580000
1982,4774000
1983,4977000
1984,5188000
1985,5407000
1986,5624000
1987,5843000
1988,6070000
1989,6307000
1990,6552000
1991,6773000
1992,6986000
1993,7205000
1994,7432000
1995,7665000
1996,7907000
1997,8155000
1998,8367000
1999,8553000
2000,8744000
2001,9030000
2002,9370000
2003,9722000
2004,10087000
2005,10466000
2006,10859000
2007,11267000
2008,11691000
2009,12129000
2010,12585000
2011,13058000
2012,13419000
2013,13658000
2014,13902000
2015,14127000
2016,14332000
2017,14540000
2018,14751000
2019,14968000
